Year,Length,Title,Subject,Actor
1973,105,High Plains Drifter,Western,Eastwood
1982,123,Honkytonk Man,Drama,Eastwood
1990,102,Nightbreed,Horror,Cronenberg
1987,98,Under the Sun of Satan,Drama,Depardieu
1985,105,Vagabond,Drama,Meril
1974,89,Monty Python & the Holy Grail,Comedy,Chapman
1993,65,John Cleese on How to Irritate People,Comedy,Cleese
1981,129,For Your Eyes Only,Action,Moore
1928,139,Wings,War,Rogers
1992,106,Medicine Man,Action,Connery
1985,119,Kiss of the Spider Woman,Drama,Hurt
1958,96,Torpedo Run,War,Ford
1990,135,Cyrano de Bergerac,Drama,Depardieu
1948,110,Border Street,Drama,Fijewski
1987,91,Firehouse,Comedy,Hopkins
1965,123,Morituri,Drama,Brando
1980,104,From the Life of the Marionettes,Drama,Atzorn
1988,120,Frantic,Mystery,Ford
1978,114,Coma,Science Fiction,Douglas
1988,117,Dead Ringers,Drama,Irons
1988,90,Golden Ninja Invasion,Action,West
1975,112,Alice Doesn't Live Here Anymore,Comedy,Kristofferson
1952,109,What Price Glory?,War,Cagney
1954,40,Inauguration of the Pleasure Dome,Short,De Brier
1989,114,School Daze,Comedy,Fishburne
1989,80,Skull,Drama,Bideman
1984,94,Best Defense,Comedy,Moore
1984,99,Dreamscape,Science Fiction,Quaid
1989,125,Black Rain,Action,Douglas
1963,138,8 1/2,Drama,Mastroianni
1935,64,One Frightened Night,Horror,Ford
1966,175,Is Paris Burning?,War,Belmondo
1974,313,QB VII,Drama,Hopkins
1983,104,Beyond the Limit,Drama,Caine
1936,84,Secret Agent,Mystery,Lorre
1986,71,Paramount Comedy Theater: Well-Developed,Comedy,Mahler
1990,107,Gremlins 2: The New Batch,Comedy,Galligan
1982,92,Fast Times at Ridgemont High,Comedy,Penn
1977,91,Rabid,Horror,Moore
1970,26,Bloopers from Star Trek,Comedy,Lawford
1943,99,Destroyer,Action,Robinson
1992,99,Party Girl,Comedy,Taylor
1989,113,Twin Peaks,Mystery,MacLachlan
1987,103,Moonstruck,Comedy,Cage
1979,128,Moonraker,Action,Moore
1984,106,Beat Street,Drama,Davis
1986,88,Running Out of Luck,Comedy,Jagger
1989,90,Never on Tuesday,Drama,Lauer
1975,109,Shampoo,Comedy,Beatty
1985,111,Power,Drama,Hackman
1965,122,Darling,Drama,Harvey
1931,68,Ambassador Bill,Comedy,Rogers
1967,111,Hombre,Western,Newman
1968,103,Coogan's Bluff,Action,Eastwood
1989,91,Penn & Teller Get Killed,Comedy,Penn
1987,118,Shy People,Drama,Philbin
1980,91,It's My Turn,Comedy,Douglas
1988,119,Dangerous Liaisons,Drama,Malkovich
1990,111,Reversal of Fortune,Drama,Irons
1991,119,Meeting Venus,Comedy,Arestrup
1946,105,Tomorrow Is Forever,Drama,Welles
1987,101,Like Father Like Son,Comedy,Cameron
1948,81,Rope,Drama,Stewart
1962,91,Road to Hong Kong,Comedy,Hope
1989,108,Shirley Valentine,Comedy,Conti
1992,135,City of Joy,Drama,Swayze
1986,88,Seven Minutes in Heaven,Comedy,Thames
1961,66,Tonight for Sure,Comedy,Lee
