Year,Length,Title,Subject,Actor
1955,100,Mr. Arkadin,Drama,Welles
1987,86,House of the Rising Sun,Drama,Annese
1988,91,In a Shallow Grave,Drama,Biehn
1974,111,Mc Q,Action,Wayne
1941,85,Lady from Louisiana,Drama,Wayne
1990,102,Wait Until Spring Bandini,Drama,Mantegna
1987,60,Encounters,Drama,Von Bergan
1963,112,Hud,Drama,Newman
1951,111,Operation Pacific,War,Wayne
1987,83,Surf Nazis Must Die,Horror,Brenner
1956,124,Teahouse of the August Moon,Drama,Brando
1992,88,Back in the U.S.S.R.,Action,Whaley
1991,108,Prisoner of Honor.,Drama,Dreyfuss
1988,83,Control,Drama,Lancaster
1923,57,Desert Rider,Western,Hoxie
1980,109,Wholly Moses!,Comedy,Moore
1991,110,Star Trek VI: The Undiscovered Country,Science Fiction,Shatner
1989,107,Star Trek V: The Final Frontier,Action,Shatner
1991,85,Circuitry Man,Action,Metzler
1986,87,Cobra,Action,Stallone
1987,103,Beverly Hills Cop II,Comedy,Murphy
1990,90,Red Sonja,Action,Schwarzenegger
1950,93,To Joy,Drama,Olin
1992,112,Macbeth,Drama,Welles
1958,128,Vertigo,Drama,Stewart
1987,91,Young Love: Lemon Popsicle Seven,Comedy,Katzur
1946,93,Crack-Up,Mystery,Marshall
1941,57,Bury Me Not on the Lone Prairie,Western,Brown
1940,57,Law & Order,Western,Brown
1941,56,Man from Montana,Western,Brown
1950,105,Rio Grande,Western,Wayne
1939,94,Jamaica Inn,Drama,Laughton
1971,110,Big Jake,Action,Wayne
1983,72,After the Rehearsal,Drama,Josephson
1952,90,Big Jim McLain,Western,Wayne
1969,101,Smith!,Western,Ford
1978,126,International Velvet,Drama,Hopkins
1981,104,Scanners,Horror,Lack
1986,98,Trick or Treat,Horror,Price
1982,92,48 Hrs.,Action,Nolte
1955,116,Mister Roberts,Comedy,Fonda
1969,127,Z,Drama,Montand
1987,139,Maurice,Drama,Wilby
1969,114,Hamlet,Drama,Williamson
1991,117,La Femme Nikita,Drama,Karyo
1993,95,Honeymoon in Vegas,Comedy,Caan
1988,90,Going for the Gold,Action,Edwards
1976,128,Shout at the Devil,Action,Marvin
1986,94,A Smoky Mountain Christmas,Music,Majors
1984,95,Getting Physical,Drama,Naughton
1990,95,Torn Apart,Drama,Pasdar
1986,112,From the Hip,Comedy,Nelson
1992,100,Class Act,Drama,Reid
1986,89,Water,Comedy,Caine
1978,88,Silent Movie,Comedy,Brooks
1989,122,Pink Cadillac,Comedy,Eastwood
1986,107,Sweet Liberty,Comedy,Alda
1982,115,Grease II,Music,Caulfield
1989,104,Married to the Mob,Comedy,Modine
1985,121,Ladyhawke,Adventure,Broderick
1985,115,Into the Night,Comedy,Goldblum
1988,116,Tequila Sunrise,Mystery,Gibson
1989,74,B. A. D. Cats,Action,Morrow
1973,106,Dillinger,Drama,Oates
1988,360,Little Dorrit,Drama,Jacobi
1927,78,My Best Girl,Drama,Rogers
1989,93,Seizure,Horror,Frid
1990,89,A Chorus of Disapproval,Comedy,Irons
1962,119,Rome Adventure,Drama,Donahue
1992,121,Drowning by Numbers,Mystery,Hill
1991,88,Born to Ride,Action,Stamos
1988,94,Her Alibi,Comedy,Selleck
1988,96,Glitz,Mystery,Smits
1990,95,Dangerous Pursuit,Mystery,Harrison
1962,123,Experiment in Terror,Mystery,Ford
1965,108,What's New Pussycat,Comedy,O'Toole
1965,108,What's New Pussycat?,Comedy,Sellers
1983,98,Packin' It In,Comedy,Benjamin
1990,106,In Too Deep,Drama,Race
1988,107,Twins,Comedy,Schwarzenegger
1989,94,Naked Lie,Drama,Lucking
1987,87,Mistress,Drama,Rachins
1970,100,Adam at 6 A.M.,Drama,Douglas
1990,93,Web of Deceit,Drama,Read
1991,119,New York Stories,Comedy,Allen
1987,103,Au Revoir les Enfants,Drama,Manesse
1989,122,Quo Vadis,Drama,Brandauer
1974,104,Zardoz,Science Fiction,Connery
1989,84,Police Academy 6: City under Siege,Comedy,Smith
1988,90,Police Academy 5: Assignment Miami Beach,Comedy,Gaynes
1986,84,Police Academy 3: Back in Training,Comedy,Guttenberg
1977,100,Julia,Drama,Fonda
1984,90,Ransom,Drama,Ford
1990,97,Cadillac Man,Comedy,Williams
1985,135,Death of a Salesman,Drama,Hoffman
1993,104,It Started with a Kiss,Drama,Ford
1987,153,Empire of the Sun,Drama,Malkovich
1969,135,On Her Majesty's Secret Service,Action,Lazenby
1986,96,Pretty in Pink,Drama,Stanton
1987,90,PK. & the Kid.,Drama,LeMat
1986,98,Summer,Comedy,Gauthier
1990,119,Pretty Woman,Comedy,Gere
1991,111,Flatliners,Drama,Sutherland
1991,142,Hook,Action,Williams
1940,56,Riders of Pasco Basin,Western,Brown
1990,106,Desperate Hours,Mystery,Rourke
1986,111,Gung Ho,Comedy,Keaton
1992,96,Shooting Elizabeth,Mystery,Goldblum
1951,101,Strangers on a Train,Mystery,Granger
1991,87,To Die Standing,Action,De Young
1980,92,Rodeo Girl,Drama,Hopkins
1969,110,Butch Cassidy & the Sundance Kid,Western,Newman
1968,121,Hellfighters,Action,Wayne
1986,120,Blue Velvet,Mystery,MacLachlan
1989,110,Cousins,Comedy,Danson
1976,90,Black & White in Color,Comedy,Carmet
1988,81,Another Woman,Drama,Hackman
1992,128,Night on Earth,Drama,Benigni
1988,92,Permanent Record,Drama,Boyce
1991,98,Another You,Comedy,Pryor
1988,89,Cheerleader Camp,Horror,Garrett
1990,98,Trapper County War,Action,Hudson
1947,96,Angel & the Badman,Western,Wayne
1990,109,Impulse,Mystery,Fahey
1988,91,Track Twenty-Nine,Drama,Oldman
1991,110,Freejack,Action,Estevez
1987,120,Innerspace,Science Fiction,Quaid
1990,102,Joe Versus the Volcano,Comedy,Hanks
1972,99,Cancel My Reservation,Comedy,Hope
1991,135,North by Northwest,Mystery,Grant
1992,213,Exodus,Drama,Newman
1985,96,Out of the Darkness,Mystery,Sheen
1974,105,Steppenwolf,Drama,Sydow
1968,105,Partner,Drama,Clementi
1971,102,Dirty Harry,Drama,Eastwood
1986,103,Ferris Bueller's Day Off,Comedy,Broderick
1986,89,Legend,Science Fiction,Cruise
1989,97,A Dry White Season,Drama,Sutherland
1968,360,War & Peace,Drama,Tikhonov
1992,96,Defense of the Realm,Drama,Elliott
1991,90,Basil The Rat,Comedy,Cleese
1991,80,Going Under,Comedy,Pullman
1990,83,U S. Sub Standard.,Comedy,Pullman
1973,127,Last Tango in Paris,Drama,Brando
1987,155,Indigo Autumn & Lilac Dream,Drama,Singer
1966,102,Johnny Tiger,Drama,Taylor
1986,90,Head Office,Comedy,Reinhold
1972,100,Le Charme Discret de la Bourgeoisie,Comedy,Rey
1986,83,Blue City,Action,Nelson
1983,123,Bad Boys,Drama,Penn
1981,115,Endless Love,Drama,Hewitt
1976,90,Rocky,Drama,Stallone
1988,103,Cocktail,Drama,Cruise
1936,77,Sabotage,Mystery,Homolka
1985,56,Fozzie's Muppet Scrapbook,Comedy,Berle
1954,110,Desiree,Drama,Brando
1960,185,Spartacus,Drama,Douglas
1955,150,Guys & Dolls,Comedy,Brando
1992,95,Until They Sail,Drama,Newman
1988,116,Coming to America,Comedy,Murphy
1963,93,Lilies of the Field,Drama,Poitier
1987,99,River's Edge,Drama,Glover
1986,93,Ruthless People,Comedy,DeVito
1988,101,Funny Farm,Comedy,Chase
1978,103,California Suite,Comedy,Caine
1986,97,Maximum Overdrive,Horror,Estevez
1985,116,Pale Rider,Western,Eastwood
1986,90,French Lesson,Comedy,Sterling
1985,88,Roller Blade,Action,Hutchinson
1964,101,A Shot in the Dark,Comedy,Sellers
1982,122,Missing,Drama,Lemmon
1989,99,Picasso Trigger,Action,Bond
1987,97,Hard Ticket to Hawaii,Action,Moss
1933,72,Baby Face,Drama,Brent
1985,117,Cocoon,Science Fiction,Ameche
1986,96,Clockwise,Comedy,Cleese
1993,103,Romantic Comedy,Comedy,Moore
1981,111,Outland,Science Fiction,Connery
1967,114,Hang 'em High,Western,Eastwood
1992,123,Basic Instinct,Mystery,Douglas
1990,113,Total Recall,Action,Schwarzenegger
1987,115,Stakeout,Comedy,Dreyfuss
1987,135,Ironweed,Drama,Nicholson
1991,112,Defending Your Life,Comedy,Brooks
1984,106,Falling in Love,Drama,De Niro
1986,108,Heartburn,Comedy,Nicholson
1983,131,Silkwood,Drama,Russell
1982,151,Sophie's Choice,Drama,Kline
1985,161,Out of Africa,Drama,Redford
1985,124,Plenty,Drama,Dance
1988,122,A Cry in the Dark,Drama,Neill
1989,99,She-Devil,Comedy,Begley
1992,103,Death Becomes Her,Drama,Willis
1991,28,Kids & Pesticides,Drama,Whyatt
1970,129,On a Clear Day You Can See Forever,Music,Montand
1987,100,Nuts,Drama,Dreyfuss
1983,134,Yentl,Music,Patinkin
1968,151,Funny Girl,Music,Sharif
1990,97,Fellow Traveller,Drama,Travanti
1970,140,Dodesukaden,Drama,Zushi
1941,117,So Ends Our Night,Drama,March
1984,102,Sword of the Valiant,Action,O'Keeffe
1989,99,Driving Miss Daisy,Drama,Freeman
1983,105,Between Friends,Drama,Ramer
1957,173,Raintree County,Drama,Clift
1967,109,Reflections in a Golden Eye,Drama,Brando
1968,109,Secret Ceremony,Drama,Mitchum
1963,243,Cleopatra,Drama,Burton
1992,130,Who's Afraid of Virginia Woolf?,Drama,Burton
1977,110,A Little Night Music,Music,Cariou
1956,201,Giant,Drama,Hudson
1943,90,Lassie Come Home,Drama,McDowall
1993,76,Return Engagement,Drama,Bottoms
1972,108,Hammersmith Is Out,Drama,Burton
1991,60,Super Duper Bloopers,Comedy,Cooper
1973,99,Ash Wednesday,Drama,Fonda
1931,125,Cimarron,Western,Dix
1992,83,Apache Woman,Western,Bridges
1988,101,Mystic Pizza,Comedy,Moses
1991,95,Dogfight,Action,Phoenix
1988,60,Daphnis & Chloe,Music,Morrow
1980,97,Marathon,Comedy,Newhart
1948,127,Fort Apache,Western,Fonda
1937,100,Wee Willie Winkie,Drama,Romero
1987,91,Big Shots,Action,Busker
1988,85,Doin' Time on Planet Earth,Comedy,Strouse
1983,91,All the Right Moves,Drama,Cruise
1987,93,Some Kind of Wonderful,Drama,Stoltz
1985,116,Back to the Future,Comedy,Fox
1986,99,Critical Condition,Comedy,Pryor
1989,88,Center of the Web,Mystery,Curtis
1990,110,Border Shootout,Action,Ford
1989,109,Lean on Me,Drama,Freeman
1986,221,On Wings of Eagles,Drama,Lancaster
1941,94,Texas,Western,Holden
1939,80,Allegheny Uprising,Drama,Wayne
1940,95,Dark Command,Western,Wayne
1986,103,Peggy Sue Got Married,Drama,Cage
1985,130,Prizzi's Honor,Comedy,Nicholson
1984,101,Crimes of Passion,Drama,Perkins
1984,106,Romancing the Stone,Action,Douglas
1988,90,Cannibal Women in the Avocado Jungle of Death,Comedy,Primus
1986,91,Mr Love.,Comedy,Jackson
1968,139,2001: A Space Odyssey,Science Fiction,Dullea
1968,88,Hour of the Wolf,Drama,Sydow
1984,96,Dangerous Moves,Drama,Caron
1957,147,Sayonara,Drama,Brando
1968,158,Where Eagles Dare,War,Burton
1985,95,Teen Wolf,Drama,Fox
1990,88,Amazon,Action,Davi
1970,97,Spider's Stratagem,Drama,Brogi
1971,102,Play Misty for Me,Mystery,Eastwood
1981,88,Going Ape,Comedy,Danza
1967,127,Cool Hand Luke,Drama,Newman
1988,89,Phantom of the Ritz,Horror,Bergman
1990,85,Crash & Burn,Science Fiction,Ganus
1991,114,After Dark My Sweet,Mystery,Patric
1992,121,Christopher Columbus: The Discovery,Adventure,Brando
1986,109,Young Sherlock Holmes,Mystery,Rowe
1991,104,Doc Hollywood,Comedy,Fox
1988,96,Baja Oklahoma,Comedy,Coyote
1986,137,Aliens,Science Fiction,Biehn
1992,115,Alien Three,Science Fiction,Dutton
1997,109,Alien: resurrection,Science Fiction,Perlman
1979,117,Alien,Science Fiction,Skerritt
1985,97,One Woman or Two,Comedy,Depardieu
1984,96,Soggy Bottom U. S. A.,Comedy,Johnson
1973,96,Bang the Drum Slowly,Drama,Moriarty
1972,92,Fuzz,Action,Reynolds
1967,107,Bedazzled,Comedy,Cook
1969,110,One Hundred Rifles,Western,Reynolds
1968,106,Bandolero!,Western,Stewart
1972,87,Hannie Caulder,Drama,Borgnine
1988,161,Bird,Drama,Whitaker
1955,60,Meet Millie,Drama,Halop
1987,88,Hell Comes to Frogtown,Science Fiction,LeFlore
1970,91,Start the Revolution Without Me,Comedy,Wilder
1989,107,Major League,Comedy,Sheen
1989,93,Cookie,Comedy,Falk
1973,112,American Graffiti,Comedy,Dreyfuss
1953,96,Dangerous When Wet,Music,Lamas
1980,111,Stir Crazy,Comedy,Pryor
1989,91,Young Einstein,Comedy,Serious
1982,125,An Officer & a Gentleman,Drama,Gere
1987,101,Black Widow,Mystery,Hopper
1986,116,Legal Eagles,Comedy,Redford
1970,90,Bloody Mama,Action,Stroud
1965,106,A Patch of Blue,Drama,Poitier
1955,109,I Died a Thousand Times,Drama,Palance
1977,90,Tentacles,Horror,Huston
1992,96,A Day in October,Drama,Sweeney
1964,102,A Fistful of Dollars,Westerns,Eastwood
1985,94,My Science Project,Comedy,Stockwell
1979,105,Meteor,Action,Connery
1955,111,Rebel Without a Cause,Drama,Dean
1961,153,West Side Story,Music,Beymer
1970,110,Trash,Comedy,Dallesandro
1966,95,A Big Hand for the Little Lady,Comedy,Fonda
1966,104,A Fine Madness,Comedy,Connery
1989,117,Harry & Son,Drama,Newman
1961,98,Paris Blues,Drama,Newman
1991,144,State of Grace,Drama,Penn
1943,108,Shadow of a Doubt,Drama,Cotten
1950,110,Stage Fright,Mystery,Wilding
1947,103,Magic Town,Drama,Stewart
1975,93,That Lucky Touch,Action,Moore
1949,90,Lust for Gold,Drama,Ford
1987,103,Heat,Mystery,Reynolds
1993,75,Employee's Entrance,Drama,William
1947,87,Night Is My Future,Drama,Malmsten
1953,94,Vera Cruz,Action,Cooper
1954,91,Apache,Western,Lancaster
1977,146,Twilight's Last Gleaming,Drama,Lancaster
1954,30,Bank on the Stars,Drama,Paar
1987,100,Law of Desire,Drama,Maura
1988,92,Bloodsport,Action,Van Damme
1986,85,Torment,Horror,Gilbert
1988,138,Pelle the Conqueror,Drama,Sydow
1981,118,Taps,Drama,Hutton
1983,90,Le Dernier Combat,Drama,Jolivet
1989,91,Too Beautiful for You,Drama,Depardieu
1963,113,Heavens Above,Comedy,Sellers
1961,141,One Eyed Jacks,Western,Malden
1936,87,Modern Times,Comedy,Chaplin
1991,114,Thunderbolt & Lightfoot,Action,Eastwood
1931,87,A Nous la Liberte,Drama,Marchand
1979,95,Scum,Action,Winstone
1979,153,Apocalypse Now,Drama,Brando
1975,87,They Came from Within,Horror,Hampton
1991,87,Killer Tomatoes Strike Back,Comedy,Astin
1979,87,Attack of the Killer Tomatoes,Comedy,Wilson
1986,91,Wise Guys,Comedy,Piscopo
1989,90,American Autobahn,Drama,Jalenak
1975,94,Posse,Western,Douglas
1982,136,Firefox,Action,Eastwood
1987,91,Penitentiary III,Action,Kennedy
1990,86,Wagonmaster,Western,Johnson
1945,135,They Were Expendable,War,Montgomery
1949,59,Law of the Golden West,Western,Hale
1949,60,Pioneer Marshal,Western,Hale
1949,60,Ranger of the Cherokee Strip,Western,Hale
1950,60,Vanishing Westerner,Western,Hale
1948,59,Bandits of Dark Canyon,Western,Lane
1983,112,Local Hero,Comedy,Riegert
1985,114,To Live & Die in L. A.,Action,Stockwell
1961,113,Ferry to Hong Kong,Drama,Welles
1958,83,Up the Creek,Comedy,Sellers
1982,111,Yol,Drama,Akan
1989,150,Sara Dane,Drama,Hopkins
1988,84,Night Tide,Drama,Muir
1953,92,His Majesty O'Keefe,Action,Lancaster
1960,122,North to Alaska,Western,Wayne
1966,76,Flight to Fury,Action,Nicholson
1966,82,Ride in the Whirlwind,Western,Nicholson
1970,93,Powderkeg,Western,Taylor
1953,95,I Confess,Drama,Clift
1969,126,Topaz,Mystery,Forsythe
1930,95,Murder,Mystery,Marshall
1954,123,Dial M for Murder,Mystery,Milland
1937,80,Young & Innocent,Mystery,Pilbeam
1976,95,Creature from Black Lake,Horror,Elam
1981,124,Chariots of Fire,Drama,Cross
1982,81,Monty Python Live at the Hollywood Bowl,Comedy,Chapman
1981,117,Victory,Drama,Stallone
1970,146,Kelly's Heroes,War,Eastwood
1989,109,Next of Kin,Mystery,Swayze
1990,96,Chattahoochee,Drama,Oldman
1986,107,Down by Law,Comedy,Waits
1992,85,Survival Zone,Action,Ford
1979,94,Monty Python's Life of Brian,Comedy,Chapman
1983,107,Monty Python's the Meaning of Life,Comedy,Cleese
1945,82,Dakota,Western,Wayne
1952,112,Viva Zapata!,Drama,Brando
1990,90,Big Bad John,Action,English
1971,138,A Clockwork Orange,Science Fiction,McDowell
1991,117,Full Metal Jacket,War,Modine
1943,82,Sanshiro Sugata,Drama,Fujita
1991,97,Rhapsody in August,Drama,Gere
1946,110,No Regrets for Our Youth,Drama,Hara
1951,83,Rashomon,Drama,Mifune
1962,96,Sanjuro,Mystery,Mifune
1955,200,Seven Samurai,Drama,Mifune
1957,110,Throne of Blood,Drama,Mifune
1961,110,Yojimbo,Action,Mifune
1980,161,Kagemusha,Drama,Nakadai
1952,134,Ikiru,Drama,Shimura
1987,90,Empire of Spiritual Ninja,Action,Berlin
1926,139,Metropolis,Science Fiction,Abel
1946,106,Cloak & Dagger,Mystery,Cooper
1920,137,Spiders,Drama,De Vogy
1954,90,Human Desire,Drama,Ford
1928,130,Spies,Drama,Klein-Rogge
1991,95,Fury,Drama,Tracy
1990,129,Mo' Better Blues,Drama,Washington
1989,30,Matt Talbot,Drama,Ford
1991,130,For a Few Dollars More,Westerns,Eastwood
1944,139,Thirty Seconds over Tokyo,War,Tracy
1982,93,Class of 1984,Drama,King
1974,109,Juggernaut,Action,Harris
1945,94,Blood on the Sun,Drama,Cagney
1969,161,Paint Your Wagon,Music,Marvin
1964,105,Ensign Pulver,Comedy,Walker
1976,92,Street People,Action,Moore
1987,85,Operation Nam,War,Wayne
1988,75,Let It Rock,Drama,Hopper
1978,90,Eraserhead,Horror,Nance
1957,97,Sweet Smell of Success,Drama,Lancaster
1971,88,And Now for Something Completely Different,Comedy,Cleese
1984,92,Crackers,Action,Sutherland
1991,89,Green Glove,Drama,Ford
1970,89,Menace on the Mountain,Action,Crowley
1940,90,In Old California,Western,Wayne
1980,99,Ffolkes,Action,Moore
1970,111,Chisum,Western,Wayne
1966,123,Closely Watched Trains,Drama,Neckar
1973,91,Executive Action,Drama,Lancaster
1942,101,Flying Tigers,Action,Wayne
1991,87,Father's Little Dividend,Comedy,Tracy
1982,92,An Evening with Robin Williams,Comedy,Williams
1987,90,Eddie Murphy Raw,Comedy,Murphy
1989,118,Harlem Nights,Comedy,Murphy
1973,93,Santee,Western,Ford
1971,115,Sometimes a Great Notion,Drama,Newman
1970,117,Catch Twenty-Two,Comedy,Arkin
1988,90,Dark Age,Action,Jarratt
1981,94,Deadline,Mystery,Newman
1935,60,Mysterious Mr. Wong,Mystery,Lugosi
1988,92,A Month in the Country,Drama,Firth
1987,116,Orphans,Drama,Finney
1976,139,All the President's Men,Drama,Redford
1987,73,J-Men Forever,Action,Bergman
1988,92,Judgement in Berlin,Drama,Sheen
1988,100,Rocket Gibraltar,Drama,Lancaster
1972,116,Jeremiah Johnson,Drama,Redford
1970,112,Burn!,Drama,Brando
1973,122,Magnum Force,Action,Eastwood
1989,86,Cyborg,Action,Van Damme
1983,86,Scream,Horror,Martin
1951,102,Flying Leathernecks,Action,Wayne
1985,92,What Comes Around,Drama,Reed
1980,123,Mon Oncle D'Amerique,Comedy,Roger-Pierre
1984,96,Roadhouse Sixty-Six,Action,Dafoe
1987,98,Russkies,Action,Hubley
1990,96,My Blue Heaven,Comedy,Martin
1990,103,Altered States,Science Fiction,Hurt
1970,170,Patton,War,Scott
1969,123,Midnight Cowboy,Drama,Hoffman
1976,112,Maitresse,Drama,Ogier
1987,86,Disorderlies,Comedy,Boys
1991,60,Garrison Keillor's Home,Comedy,Keillor
1938,55,Overland Stage Raiders,Western,Wayne
1938,55,Pals of the Saddle,Western,Wayne
1982,92,Alone in the Dark,Horror,Schultz
1979,112,Escape from Alcatraz,Drama,Eastwood
1948,88,Criss Cross,Drama,Lancaster
1976,132,Midway,War,Heston
1990,126,Indiana Jones & the Last Crusade,Action,Ford
1993,90,Duel,Mystery,Weaver
1991,193,Separate but Equal,Drama,Poitier
1924,123,Gosta Berling's Saga,Drama,Hanson
1986,120,Platoon,Drama,Sheen
1971,100,Willy Wonka & the Chocolate Factory,Music,Wilder
1971,88,Joe Kidd,Western,Eastwood
1938,96,Boys Town,Drama,Tracy
1982,150,A Question of Honor,Drama,Gazzara
1947,61,Check Your Guns,Western,Dean
1947,56,West to Glory,Western,Dean
1992,54,Border Feud,Action,LaRue
1947,53,Law of the Lash,Western,LaRue
1949,66,Outlaw Country,Western,LaRue
1992,53,Return of the Lash,Action,LaRue
1937,60,Mystery of the Hooded Horsemen,Western,Ritter
1937,60,Tex Rides with the Boy Scouts,Western,Ritter
1949,59,Shadows of the West,Western,Wilson
1991,102,Instant Karma,Comedy,Cassidy
1957,73,Time Lock,Drama,Connery
1953,79,Appointment in Honduras,Drama,Ford
1982,136,Danton,Drama,Depardieu
1985,109,Les Comperes,Comedy,Richard
1990,128,Dead Poets Society,Drama,Williams
1976,176,Kings of the Road (In the Course of Time),Drama,Vogler
1990,98,Hiroshima,Drama,Nelson
1956,97,Somebody up There Likes Me,Drama,Newman
1955,57,Jack Benny Show,Comedy,Benny
1962,182,Mutiny on the Bounty,Action,Brando
1986,60,Monty Python's Flying Circus,Comedy,Chapman
1992,60,Hollywood Mavericks,Comedy,Coppola
1990,60,Live at Harrah's,Comedy,Cosby
1977,255,Nineteen Hundred,Drama,De Niro
1972,15,My Country Right or Wrong,War,Douglas
1992,118,Tightrope,Mystery,Eastwood
1987,95,Hearts of Fire,Drama,Everett
1992,165,How the West Was Won,Western,Fonda
1993,88,Great White Death,Action,Ford
1993,102,Today We Kill....Tomorrow We Die,Western,Ford
1989,116,Back to the Future II,Comedy,Fox
1973,105,Deadly Trackers,Western,Harris
1982,208,Othello,Drama,Hopkins
1953,120,Tales of Tomorrow,Horror,Karloff
1991,128,Inherit the Wind,Drama,Kelly
1990,45,This Is Horror,Horror,King
1992,112,Conversation Piece,Drama,Lancaster
1986,49,Jay Leno: The American Dream,Comedy,Leno
1990,92,Primal Rage,Mystery,Lowe
1986,52,Howie Mandel's North American Watusi Tour,Comedy,Mandel
1991,98,L. A. Story,Comedy,Martin
1986,60,Steve Martin Live!,Comedy,Martin
1992,101,Romulus & the Sabines,Action,Moore
1983,91,Strange Brew,Comedy,Moranis
1990,98,Another Forty-Eight Hours,Action,Murphy
1991,99,What about Bob?,Comedy,Murray
1992,121,Harper,Mystery,Newman
1989,61,Exile in Concert,Music,Pennington
1987,60,Joe Piscopo New Jersey Special,Comedy,Piscopo
1988,96,Salsa: The Motion Picture,Drama,Rosa
1991,80,Hollywood's Greatest War Movies,War,Scott
1991,91,Out for Justice,Action,Seagal
1991,101,I'm All Right Jack,Comedy,Sellers
1960,91,Never Let Go,Action,Sellers
1991,84,Two-Way Stretch,Comedy,Sellers
1958,92,Tom Thumb,Science Fiction,Tamblyn
1989,90,Beartooth,Action,Taylor
1979,90,James Taylor in Concert,Music,Taylor
1942,253,Gangbusters,Drama,Taylor
1967,105,Chuka,Western,Taylor
1980,93,Cry of the Innocent,Drama,Taylor
1991,108,Edison the Man,Drama,Tracy
1991,101,Keeper of the Flame,Drama,Tracy
1939,55,Frontier Horizon,Western,Wayne
1934,54,Hell Town,Western,Wayne
1965,165,In Harm's Way,War,Wayne
1991,56,King of the Pecos,Western,Wayne
1992,59,Lawless Frontier,Western,Wayne
1934,54,Lucky Texan,Western,Wayne
1992,112,McQ,Action,Wayne
1991,54,Neath the Arizona Skies,Western,Wayne
1991,53,Randy Rides Alone,Western,Wayne
1993,58,Range Feud,Western,Wayne
1992,134,Red River,Western,Wayne
1991,52,Riders of Destiny,Western,Wayne
1989,103,Blood & Guns,Action,Welles
1988,78,Hot Money,Drama,Welles
1977,75,Comedy Tonight,Comedy,Williams
1991,65,Robin Williams,Comedy,Williams
